Center.x,Center.y,Left.x,Left.y,Right.x,Right.y,Top.x,Top.y,Bottom.x,Bottom.y,avg_value
1004.46,818.395,996.67,818.395,1012.25,818.395,1004.46,813.669,1004.46,823.121,56
968.748,818.956,960.57,818.956,976.926,818.956,968.748,813.736,968.748,824.177,61.9645
880.801,819.087,873.382,819.087,888.22,819.087,880.801,814.013,880.801,824.161,60.9786
155.91,817.908,148.361,817.908,163.459,817.908,155.91,813.57,155.91,822.246,59.3358
120.176,818.229,113.597,818.229,126.755,818.229,120.176,814.458,120.176,821.999,51.9579
83.6115,818.385,76.6887,818.385,90.5342,818.385,83.6115,814.372,83.6115,822.398,53.9204
1039.89,818.158,1031.78,818.158,1047.99,818.158,1039.89,812.779,1039.89,823.538,64.4085
916.027,818.879,908.518,818.879,923.537,818.879,916.027,813.463,916.027,824.295,59.6333
845.784,818.399,837.352,818.399,854.217,818.399,845.784,812.753,845.784,824.045,65.5591
810,817.892,801.659,817.892,818.341,817.892,810,812.724,810,823.061,58.2011
776.065,817.562,768.25,817.562,783.88,817.562,776.065,812.937,776.065,822.187,56.1973
635,816.619,629.097,816.619,640.903,816.619,635,813.01,635,820.228,52.8929
476.5,817.5,468.752,817.5,484.248,817.5,476.5,812.807,476.5,822.193,55.8289
441,817.635,433.557,817.635,448.443,817.635,441,812.896,441,822.374,60.922
370.055,817.466,362.02,817.466,378.09,817.466,370.055,812.67,370.055,822.263,57.1548
334.717,817.36,327.512,817.36,341.921,817.36,334.717,812.708,334.717,822.013,55.5113
262.97,817.316,255.513,817.316,270.426,817.316,262.97,812.785,262.97,821.847,54.5227
228.215,817.411,220.328,817.411,236.103,817.411,228.215,812.541,228.215,822.282,65.4314
703.96,816.966,695.613,816.966,712.308,816.966,703.96,811.839,703.96,822.094,56.3103
599.66,817.025,591.229,817.025,608.091,817.025,599.66,811.858,599.66,822.193,64.7627
564.489,816.939,556.526,816.939,572.453,816.939,564.489,811.913,564.489,821.965,58.0909
405.55,817.669,396.91,817.669,414.191,817.669,405.55,812.122,405.55,823.216,64.3641
298.928,817.358,290.625,817.358,307.232,817.358,298.928,811.785,298.928,822.931,70.6221
739.21,817.116,730.285,817.116,748.134,817.116,739.21,811.282,739.21,822.949,71.381
669.54,816.523,660.881,816.523,678.199,816.523,669.54,810.968,669.54,822.079,67.5515
529.441,816.901,521.203,816.901,537.679,816.901,529.441,811.591,529.441,822.212,61.7485
1360.51,802.508,1352.93,802.508,1368.1,802.508,1360.51,797.774,1360.51,807.243,63.7986
1323.84,802.166,1316.83,802.166,1330.84,802.166,1323.84,798.124,1323.84,806.209,53.6404
1289.47,802.046,1283.54,802.046,1295.41,802.046,1289.47,798.113,1289.47,805.979,56.6941
1253,801.404,1246.82,801.404,1259.19,801.404,1253,797.32,1253,805.488,57.0105
1217.81,801.227,1210.66,801.227,1224.96,801.227,1217.81,797.151,1217.81,805.303,53.1897
1182.48,800.488,1175.76,800.488,1189.2,800.488,1182.48,796.564,1182.48,804.412,55.6698
1146.78,801.014,1140.1,801.014,1153.46,801.014,1146.78,796.2,1146.78,805.827,58.0351
1110.92,800.341,1104.04,800.341,1117.8,800.341,1110.92,795.802,1110.92,804.88,59.3913
